asin,Title,MainImage,Rating,NumberOfReviews,Price,AvailableSizes,AvailableColors,BulletPoints,SellerRank
B0727XJQLD,"







Ring Floodlight Camera Motion-Activated HD Security Cam Two-Way Talk and Siren Alarm, White






",https://images-na.ssl-images-amazon.com/images/I/41tYUD%2BhVbL.jpg,4.6 out of 5 stars,"16,505 ratings",$249.99,,"Black,White","
Connect your Ring camera with Alexa then enable announcements to be alerted when motion is detected. Talk to visitors through compatible Echo devices by saying “Alexa, talk to the front door”.

,
Lets you see, hear and speak to visitors from your phone, tablet and PC

,
With a Ring Protect Plan (subscription sold separately), record all your videos, review what you missed for up to 60 days, and share videos and photos.

,
Requires hardwired installation to weatherproof electrical boxes

,
Monitors your home in 1080HD video with infrared night vision and Live View

,
Includes built-in ultra-bright floodlights and a siren

,
Includes privacy features, such as customizable privacy zones and audio privacy, to focus only on what's relevant to you.

",
B00NPVCPRM,"







Zinus Armita 9 Inch Smart Box Spring / Mattress Foundation / Built-to-Last Metal Structure / High Profile / Easy Assembly, Queen






",https://images-na.ssl-images-amazon.com/images/I/312hdtrcbdL._AC_.jpg,4.5 out of 5 stars,"24,659 ratings",$119.00,"Twin,Full,Queen,King,California King",,"
The last box spring you’ll ever need - Unlike a traditional box spring, the Armita is made of solid steel that comes together in no time and is backed by our Zinus “Peace of Mind” 5 year warranty

,
Durably engineered - Durable steel is used to construct the inside framework of this foundation; slats are spaced 6 - 7 inches apart; twin size supports a maximum weight capacity of 250 lbs, while all other sizes can support up to 500 lbs

,
High profile design - A 9 inch height is perfect for shorter mattresses or for those who enjoy their bed higher off the floor

,
Thoughtfully packaged - All parts, tools and instructions are packed into one compact box that ships straight to your door

,
Worry-free 5 year limited warranty included; box spring only, a bed frame or platform bed is required to support this foundation and is sold separately

",
B078YZ586K,"







Hoover FH50700 PowerDash Pet Compact Carpet Cleaner, Lightweight, Blue






",https://images-na.ssl-images-amazon.com/images/I/31OELwzlSXL._AC_.jpg,4.4 out of 5 stars,"21,957 ratings",$106.99,,,"
2X MORE CLEANING POWER than the competitive lightweight carpet cleaner*

,
POWERSPIN PET BRUSH ROLL: Delivers powerful carpet cleaning with protection

,
HEATFORCE POWER: Delivering an even faster drying for any space

,
LIGHTWEIGHT & COMPACT: Easy-to-use design for efficient cleaning and storage

,
POWERFUL CLEANING: Good for high traffic areas and small spaces

,
CLEANING SOLUTION INCLUDED: Comes with a Hoover Trial Size Solution to help enhance your cleaning performance

",
B07VVK39F7,"







LEVOIT Air Purifier for Home Allergies Pets Hair Smokers in Bedroom, H13 True HEPA Air Purifiers Filter, 24db Quiet Air Cleaner, Remove 99.97% Smoke Dust Mold Pollen for Large Room, Core 300, White






",https://images-na.ssl-images-amazon.com/images/I/41MmT7Y3HDL._AC_.jpg,4.7 out of 5 stars,"11,640 ratings",,,"Black,White","
Genuine Replacement Filters: Search for core300-rf or core 300 replacement filter for Replacement Filters. Use genuine Levoit replacement filters to maintain the best performance and to ensure what you're buying is worthy of your investment

,
Higher Purify Performance: Use the Core 300 to fill your environment with crisp, clean air. Its Vortexair Technology creates a stronger air flow, CADR number is 230+m3/h, allowing it to cover up to 219 sq. ft. AC 120V/60HZ for USA and Canada

,
Improved Filtration: With larger expansion area and longer length than others, the H13 Ture HEPA filter works with ultra-fine Pre-filter and activated carbon filter, trapping 99. 97% of fine particles and allergens as small as 0. 3 microns and large pollutants such as dust, pet dander, smoke, mold, pollen

,
Most Silent Air Cleaner: The noise level is nearly voiceless at sleep mode with only 24db, its QuietKEAP Technology reduces noise so you can sleep in a restful and soothing indoor environment

,
Ultra-long Service Life: Industry leader provider's bearing makes this levoit core300 hepa air purifier durable and reliable. The AC capacitor motor uses durable high-precision bearing, and excellent internal structure increases abrasion resist, which obviously extends the life of machine

,
Full Certified for Safer: Energy Star Verified, Complies with California air resources board (CARB) for indoor cleaning devices. Also FCC certified, ETL listed, CA PROP 65 certified

,
Ozone Free: Levoit air purifiers avoid using UV/Ion light, an air cleaning method that research has shown can produce harmful ozone and secondary pollution

,Undisturbed Operation: display light can be turned off to enjoy a perfect night of sleep without the effect of light. A timer for 2/4/6/8 hours and filter life time indicator for your convenience,What you get: Air purifier that is designed in California and has won CGD 2019, 3-in-1 H13-grade True HEPA filter and user manual. Professional and California-based Customer Service from Levoit,Power Source Type: Corded Electric",
B07PBQ22PP,"







KitchenAid KSM180QHSD 100 Year Limited Edition Queen of Hearts Stand Mixer, Passion Red






",https://images-na.ssl-images-amazon.com/images/I/41Opyz2hM9L._AC_.jpg,4.7 out of 5 stars,225 ratings,$358.87,,,"
,
,
Passion red embodies the energy, strength and passion to create possibility in the kitchen

,
Passion-inspired trim band with hundreds of miniature red hearts, sleek chrome accents and a custom chrome power hub cover celebrating 100 years of the KitchenAid brand

,
5 quart stainless steel bowl with handle to mix up to 9 dozen cookies in a single batch

,
10 Speeds, powerful enough for nearly any task or recipe

,
Over 14 different attachments available to make everything from fresh pasta to burgers, veggie noodles and more

,
Tilt-head design for clear access to the bowl to add ingredients for a recipe

,
59 Touch points around the bowl ensure that all ingredients are thoroughly incorporated

,
Includes (1) coated flat beater, (1) coated c-dough hook, (1) 6-wire whip (1) one-piece pouring shield

",
B01ALYD1WI,"







Cuisinart C77WTR-15P Classic Forged Triple Rivet, 15 Piece Set, White






",https://images-na.ssl-images-amazon.com/images/I/41ex0m%2BDSRL._AC_.jpg,4.7 out of 5 stars,"2,087 ratings",$99.95,,"Black,White","
,
,
Set Includes: 8"" Chef Knife, 8"" Slicing Knife, 7"" Santoku Knife, 5.5"" Utility Knife, 3.5"" Paring Knife, 2.75"" Bird's Beak Paring Knife, 4.5"" Steak Knives (6), 8"" Sharpening Steel, All-Purpose Household Shears, Wooden Block.

,
Superior high-carbon forged stainless steel blade for precision and accuracy

,
Durable extra-wide safety bolster for perfect stability and control

,
Stainless steel rivets to secure the full-tang blade to the ergonomically designed handle

,
Lifetime warranty

",
B0147WIC7E,"







Office Chair Ergonomic Desk Chair Mesh Computer Chair Lumbar Support Modern Executive Adjustable Stool Rolling Swivel Chair for Back Pain, Black






",https://images-na.ssl-images-amazon.com/images/I/41t8zBINMoL._AC_.jpg,4.2 out of 5 stars,"19,998 ratings",39.99,,"Black,Blue,Green,Grey,Orange,Pink,Red,White","
BUILT FOR COMFORT - Our mesh office/computer chair is built for long-lasting comfort. And easily adjusted for height, the locking mechanism keeps the back upright and relieves the stress and pain brought on by other office chairs.

,
ERGONOMIC DESIGN - Designed with human-oriented ergonomic construction, users have full mobility whether you’re gaming, working on the computer, or meeting in the office.

,
BIFIMA QUALITY-CERTIFIED - Our chairs pass all components of the BIFIMA certification, and are a reliable and sturdy option for users weighing up to 250 pounds.

,
EASY ASSEMBLY – Our chair comes ready to assemble, with all the hardware and necessary tools. With step-by-step instructions, you’ll be set up and ready to game, take on the office in about 10-15 minutes!

,
CUSTOMER GUARANTEE – We want all of our customers to feel ready to take on the day from the comfort of our chairs. This chair comes with 90-days warranty, and a 100% satisfaction guarantee, but if you’re not satisfied, please contact BestOffice customer service.

",
B081NWVMCH,"







Medify Air MA-25-W1 with H13 HEPA filter - a higher grade of HEPA for 500 Sq. Ft. Air Purifier | Dual Air Intake | Two '3-in-1' Filters | 99.9% removal in a Modern Design - White






",https://images-na.ssl-images-amazon.com/images/I/41iQqjR94wL._AC_.jpg,4.6 out of 5 stars,978 ratings,$160.00,,,"
,
,
NEW 2020!!! The Most Powerful table top air purifiers on the market with Dual Air Intakes and two filters.

,
A higher grade of HEPA - H13 Filters (higher rated than True HEPA) 99.9% particle removal.

,
Tempered Glass panel (like your cell phone, easy to clean, won't scratch like cheap plastic models), beveled edge, 3 fan speeds, 8 hr timer, night mode, child lock

,
Genuine Medify Replacement Filter: ASIN B084Q965BF, 110 Volt units, USA registered Lifetime Warranty | ETL certified.

",
B0763X6TCW,"







Brother MFCL2750DW Monochrome All-in-One Wireless Laser Printer, Duplex Copy & Scan, Amazon Dash Replenishment Ready






",https://images-na.ssl-images-amazon.com/images/I/41ShK-0azUL._AC_.jpg,4.5 out of 5 stars,"1,528 ratings",,,,"
,
,
Perfect all-in-one – The MFC-L2750DW developed for the busy home or small office, Brother’s latest compact laser all-in-one printer features advanced printing at 36 pages per minute(1) as well as faxing, copying, and scanning capabilities

,
Engineered for productivity – This replacement for the MFCL2740DW helps save time with single-pass duplex (2-sided) copying and scanning via an up to 50-sheet automatic document feeder along with multi-page copying, scanning, and faxing functions

,
Printing on the go: Send print jobs wirelessly from your desktop, laptop, smartphone, and tablet(2). The ""Touch to Connect"" printing with NFC gives added convenience(3)

,
Cloud based print & scan – Print from and scan to popular Cloud services directly from the 2.7"" color touchscreen, including Dropbox, Google Drive, Evernote, OneNote, and more(4)

,
Wireless printing & exceptional support – easily connect via wireless connections from your laptop, smartphone, desktop, and tablets. We provide free online, call, or live chat support for the life of your printer. Copy resolution: 600 x 600 Max. Dpi. Power source-ac 120V 50/60Hz

,
Scan driver compatibility: twain, WIA, SANE and scan file formats: JPEG (jpg), Max, PDF single-page/multi-page (PDF/a, High compression PDF, TIFF single-page/multi-page (TIFF).Amazon dash replenishment enabled: upon activation, Amazon Dash Replenishment measures the toner level and orders more from Amazon when it’s low

,
Form Factor: Print Only

,
Connectivity Technology: Wi-Fi

",
B07PD5VZ93,"







BISSELL ProHeat 2X Revolution Pet Full Size Upright Carpet Cleaner, 1548F, Orange






",https://images-na.ssl-images-amazon.com/images/I/410etiLYcQL._AC_.jpg,4.5 out of 5 stars,"6,029 ratings",$189.99,,Orange,"
Buy Bissell, save pets; Bissell will donate up to 10 dollars to Bissell pet foundation for each purchase of this pet product upon activation

,
Out cleans the leading rental and half the weight, making it easy to use and maneuver

,
New max clean mode, combined with 12 rows of rotating dual dirt lifter power brushes, delivers professional grade cleaning to remove deep down embedded stains, dirt and odors

,
Our fastest dry time ever; New and improved express clean mode delivers dry carpets in about 30 minutes

,
Professional results powerful cleaning with Bissell Pro Max clean and protect

,
Light weight design (less than 18 pounds) and low profile foot makes it easy to use and maneuver around furniture

,
Professional results powerful cleaning with Bissell professional formula

,
7 feet hose and pet spot cleaning tools attach the hose and tools for spot cleaning on stairs, upholstery, and pet beds

",
